"식사코드	급식일자	요리명"
"1	20190102	찹쌀밥<br/>소프트치즈케익1.2.5.6.13.<br/>참치김치찌개5.9.13.<br/>계란후라이1.5.<br/>스팸구이/김구이1.6.10.13.<br/>텐저린5.13."
"2	20190102	잡곡밥<br/>얼큰어묵국1.5.6.13.<br/>상추쑥갓겉절이5.6.13.<br/>돈육고추장오븐구이5.6.10.12.13.<br/>배추김치9.13.<br/>귤(생과)<br/>꿀설기5.13."
"3	20190102	스팸마요덮밥%1.5.6.10.13.<br/>바나나미니도넛%1.2.5.6.13.<br/>유부된장국5.6.13.<br/>포도발효초음료"
"1	20190103	찹쌀밥<br/>브라우니1.2.5.6.13.<br/>애호박고추장찌개5.6.9.10.13.<br/>상추부추겉절이/김치5.6.13.<br/>돼지불고기@5.6.10.13.<br/>프로바이오틱2."
"2	20190103	현미밥<br/>두부김치국5.9.13.<br/>양상추샐러드1.5.6.12.13.<br/>치즈돈까스/감자튀김1.2.5.6.10.12.13.<br/>배추김치9.13.<br/>요구르트2."
"3	20190103	찹쌀밥<br/>들깨감자수제비@5.6.13.<br/>등뼈사태찜5.6.10.<br/>어묵매콤볶음%1.5.6.13.<br/>깍두기9.13.<br/>요구르트2."
"1	20190104	찹쌀밥<br/>붕어빵*13.<br/>쇠고기미역국5.6.13.16.<br/>연두부찜(80g)/양념장5.6.<br/>야채소시지/케첩2.5.6.10.12.13.<br/>배추김치9.13.<br/>귤(생과)"
"2	20190104	기장밥<br/>등뼈감자탕10.<br/>매콤콩나물무침(자)5.<br/>고소참치야채전5.6.9.13.<br/>어묵메추리알장조림@1.5.6.13.<br/>배추김치9.13.<br/>사과"
"3	20190104	찹쌀밥<br/>얼큰콩나물국%5.6.9.13.<br/>무생채13.<br/>옛날소세지전1.2.5.6.10.<br/>오지치즈후라이@2.5.6.10.12.13.<br/>총각김치9.13."
"1	20190105	찹쌀밥<br/>초코칩 트위스트1.2.5.6.13.<br/>두부김치국5.9.13.<br/>깻잎양념찜5.6.13.<br/>제육고추장볶음5.6.10.13.<br/>텐저린5.13."
"2	20190105	한그릇어묵우동/밥1.5.6.13.<br/>파래돌김자반13.<br/>라비올리만두1.5.6.10.13.<br/>배추김치9.13.<br/>유기농요구르트2."
"3	20190105	찹쌀밥<br/>쫄면야채무침@5.6.13.<br/>호박두부된장국@5.6.13.<br/>1318왕돈까스1.2.5.6.12.13.<br/>백김치9.13.<br/>고칼슘지방제로 플레인요구르트2."
"1	20190106	찹쌀밥<br/>쇠고기무국5.6.13.16.<br/>매운돼지갈비찜5.6.10.13.<br/>파래돌김자반13.<br/>피칸파이1.2.5.6.13.<br/>프로바이오틱2."
"2	20190106	김치볶음밥2.5.6.9.10.13.<br/>계란파국1.13.<br/>깐풍기1.2.5.6.12.13.<br/>총각김치9.13.<br/>더블업요구르트2."
"3	20190106	찹쌀밥<br/>북어무채국1.9.13.<br/>제육볶음@5.6.10.13.<br/>배추겉절이9.13.<br/>플레오요구르트2.<br/>깻잎쌈&쌈장"
"1	20190107	찹쌀밥<br/>핫케이크1.2.5.6.13.<br/>시금치콩나물국5.6.13.<br/>닭살고추장볶음5.6.<br/>마른김구이와 양념장5.6.13.<br/>더블업 요구르트2."
"2	20190107	찹쌀밥<br/>소면설렁탕@1.5.6.13.16.<br/>비엔나메추리알조림1.2.5.6.10.12.13.<br/>깻잎양념찜5.6.13.<br/>김치전1.5.6.9.13.<br/>귤(생과)"
"3	20190107	찹쌀밥<br/>아욱된장국@5.6.13.<br/>호박느타리볶음5.<br/>동그랑땡전1.2.5.6.10.<br/>석박지9.13.<br/>딸기요플레2."
"1	20190108	찹쌀밥<br/>감자고추장찌개5.6.13.<br/>근대나물/김치5.6.<br/>베이컨채소구이10.13.<br/>유기농요구르트2.<br/>에그타르트1.2.5.6.13."
"2	20190108	찹쌀밥<br/>팽이버섯된장국5.6.13.<br/>참나물무생채13.<br/>닭떡볶이1.5.6.13.<br/>고추잡채김말이1.5.6.13.<br/>배추김치9.13."
"3	20190108	떡갈비볶음밥@1.2.5.6.10.13.<br/>시금치콩나물국5.6.13.<br/>멸치고추장볶음@5.6.13.<br/>고감콘크로켓@1.2.5.6.10.12.13.<br/>열무김치9.13."
"1	20190109	찹쌀밥<br/>쇠고기당면국5.6.8.13.16.<br/>연두부계란찜1.5.<br/>제육구이5.6.10.13.<br/>브라우니1.2.5.6.13.<br/>텐저린5.13."
"2	20190109	콩나물밥&양념장5.6.<br/>들깨무채국13.<br/>야채튀김@2.5.6.<br/>배추김치9.13.<br/>골드키위쥬스5.13."
"3	20190109	찹쌀밥<br/>도토리수제비%13.<br/>영양갈비찜@5.6.10.13.<br/>얼갈이된장나물@5.6.<br/>청포묵김무침@1.5.6.13.<br/>석박지9.13."
"1	20190110	찹쌀밥<br/>소프트치즈케익1.2.5.6.13.<br/>순두부김치국5.6.9.13.<br/>계란후라이1.5.<br/>스팸구이/김구이1.6.10.13.<br/>엔요*2."
"2	20190110	자장잡채밥2.5.6.8.10.13.<br/>부추계란국1.13.<br/>만두탕수1.5.6.10.11.12.13.<br/>배추김치9.13.<br/>엔요2."
"3	20190110	찹쌀밥<br/>들기름바사삭김<br/>청국장5.9.13.<br/>소면야채무침5.6.9.13.<br/>언양식바싹불고기@1.2.5.6.10.12.13.<br/>깍두기9.13."
"1	20190111	찹쌀밥<br/>감자수제비국5.6.13.<br/>미역줄기볶음5.<br/>두반장불닭볶음5.6.12.13.15.<br/>감귤쥬스<br/>아몬드파이1.2.5.6.13."
"2	20190111	치킨마요덮밥1.5.6.13.<br/>얼큰콩나물국5.6.13.<br/>사과무생채13.<br/>귤(생과)<br/>핫도그&케첩1.2.5.6.10.12.13."
"3	20190111	찹쌀밥<br/>동태찌개5.6.9.13.<br/>닭떡볶이%1.5.6.13.<br/>허브잡채말이%1.5.6.<br/>배추김치9.13."
"1	20190112	야채죽5.<br/>돈육장조림1.5.6.10.13.<br/>파래돌김자반13.<br/>배추김치9.13.<br/>우유(200ml)2.<br/>시리얼/첵스5.6.13."
"2	20190112	잔치국수/밥1.5.6.9.13.<br/>배추김치9.13.<br/>엔요2.<br/>아몬드파이1.2.5.6.13."
"3	20190112	찹쌀밥<br/>시금치된장국%5.6.13.<br/>달걀꽈리고추장조림1.5.6.13.<br/>사과무생채13.<br/>미트소스스파게티@1.2.5.6.10.12.13.16.<br/>배추김치9.13."
"1	20190113	찹쌀밥<br/>떡만두국1.5.6.10.13.<br/>김치돼지갈비찜5.6.9.10.13.<br/>아몬드호두김자반13.<br/>딸기우유2.<br/>모닝빵&딸기잼1.2.5.6.13."
"2	20190113	찹쌀밥<br/>부대찌개2.5.6.9.10.13.<br/>상추쑥갓겉절이5.6.13.<br/>메추리알장조림1.5.6.13.<br/>유기농요구르트2.<br/>생크림모찌5.13."
"3	20190113	찹쌀밥<br/>얼큰콩나물국%5.6.9.13.<br/>삼치엿장조림%5.6.13.<br/>깻잎양념찜%5.6.13.<br/>배추김치9.13."
"1	20190114	찹쌀밥<br/>쇠고기무국5.6.13.16.<br/>감자채볶음5.<br/>치즈불닭2.5.6.12.13.15.<br/>초코우유2.5.<br/>카카오머핀1.2.5.6.13."
"2	20190114	잔치국수/밥1.5.6.9.13.<br/>과일샐러드/키위드레싱*1.2.4.5.6.11.13.<br/>꽈리고추멸치볶음5.6.13.<br/>깐풍기1.2.5.6.12.13.<br/>배추김치9.13."
"3	20190114	옥수수계란찜1.5.13.<br/>찹쌀밥<br/>돈육김치찌개@5.6.9.10.13.<br/>배추나물무침5.6.<br/>언양식바싹불고기@1.2.5.6.10.12.13.<br/>석박지9.13."
"1	20190115	찹쌀밥<br/>얼갈이배추된장국5.6.9.13.<br/>시금치무침5.6.<br/>제육구이5.6.10.13.<br/>우리밀도넛1.2.5.6.13.<br/>더블업 2."
"2	20190115	찹쌀밥<br/>닭개장*5.6.13.<br/>떡볶이1.5.6.13.<br/>미역줄기볶음1.5.6.13.<br/>배추김치9.13.<br/>파인애플쥬스5.13.<br/>순대/김치5.6.10.13."
