,요리명
0,찹쌀밥 소프트치즈케익 참치김치찌개 계란후라이 스팸구이 김구이 텐저린
1,잡곡밥 얼큰어묵국 상추쑥갓겉절이 돈육고추장오븐구이 배추김치 귤 꿀설기
2,스팸마요덮밥 바나나미니도넛 유부된장국 포도발효초음료
3,찹쌀밥 브라우니 애호박고추장찌개 상추부추겉절이 김치 돼지불고기 프로바이오틱
4,현미밥 두부김치국 양상추샐러드 치즈돈까스 감자튀김 배추김치 요구르트
5,찹쌀밥 들깨감자수제비 등뼈사태찜 어묵매콤볶음 깍두기 요구르트
6,찹쌀밥 붕어빵 쇠고기미역국 연두부찜 양념장 야채소시지 케첩 배추김치 귤
7,기장밥 등뼈감자탕 매콤콩나물무침 고소참치야채전 어묵메추리알장조림 배추김치 사과
8,찹쌀밥 얼큰콩나물국 무생채 옛날소세지전 오지치즈후라이 총각김치
9,찹쌀밥 초코칩 트위스트 두부김치국 깻잎양념찜 제육고추장볶음 텐저린
10,한그릇어묵우동 밥 파래돌김자반 라비올리만두 배추김치 유기농요구르트
11,찹쌀밥 쫄면야채무침 호박두부된장국 왕돈까스 백김치 고칼슘지방제로 플레인요구르트
12,찹쌀밥 쇠고기무국 매운돼지갈비찜 파래돌김자반 피칸파이 프로바이오틱
13,김치볶음밥 계란파국 깐풍기 총각김치 더블업요구르트
14,찹쌀밥 북어무채국 제육볶음 배추겉절이 플레오요구르트 깻잎쌈 쌈장
15,찹쌀밥 핫케이크 시금치콩나물국 닭살고추장볶음 마른김구이와 양념장 더블업 요구르트
16,찹쌀밥 소면설렁탕 비엔나메추리알조림 깻잎양념찜 김치전 귤
17,찹쌀밥 아욱된장국 호박느타리볶음 동그랑땡전 석박지 딸기요플레
18,찹쌀밥 감자고추장찌개 근대나물 김치 베이컨채소구이 유기농요구르트 에그타르트
19,찹쌀밥 팽이버섯된장국 참나물무생채 닭떡볶이 고추잡채김말이 배추김치
20,떡갈비볶음밥 시금치콩나물국 멸치고추장볶음 고감콘크로켓 열무김치
21,찹쌀밥 쇠고기당면국 연두부계란찜 제육구이 브라우니 텐저린
22,콩나물밥 양념장 들깨무채국 야채튀김 배추김치 골드키위쥬스
23,찹쌀밥 도토리수제비 영양갈비찜 얼갈이된장나물 청포묵김무침 석박지
24,찹쌀밥 소프트치즈케익 순두부김치국 계란후라이 스팸구이 김구이 엔요
25,자장잡채밥 부추계란국 만두탕수 배추김치 엔요
26,찹쌀밥 들기름바사삭김 청국장 소면야채무침 언양식바싹불고기 깍두기
27,찹쌀밥 감자수제비국 미역줄기볶음 두반장불닭볶음 감귤쥬스 아몬드파이
28,치킨마요덮밥 얼큰콩나물국 사과무생채 귤 핫도그 케첩
29,찹쌀밥 동태찌개 닭떡볶이 허브잡채말이 배추김치
30,죽 돈육장조림 파래돌김자반 배추김치 우유 시리얼 첵스
31,잔치국수 밥 배추김치 엔요 아몬드파이
32,찹쌀밥 시금치된장국 달걀꽈리고추장조림 사과무생채 미트소스스파게티 배추김치
33,찹쌀밥 떡만두국 김치돼지갈비찜 아몬드호두김자반 딸기우유 모닝빵 딸기잼
34,찹쌀밥 부대찌개 상추쑥갓겉절이 메추리알장조림 유기농요구르트 생크림모찌
35,찹쌀밥 얼큰콩나물국 삼치엿장조림 깻잎양념찜 배추김치
36,찹쌀밥 쇠고기무국 감자채볶음 치즈불닭 초코우유 카카오머핀
37,잔치국수 밥 과일샐러드 키위드레싱 꽈리고추멸치볶음 깐풍기 배추김치
38,옥수수계란찜 찹쌀밥 돈육김치찌개 배추나물무침 언양식바싹불고기 석박지
39,찹쌀밥 얼갈이배추된장국 시금치무침 제육구이 우리밀도넛 더블업 
40,찹쌀밥 닭개장 떡볶이 미역줄기볶음 배추김치 파인애플쥬스 순대 김치
41,참치김치덮밥 호박두부된장국 사과무생채 쥬시쿨 라면땅핫도그
42,찹쌀밥 초코칩 트위스트 갈비김치찌개 파래돌김자반 야채계란말이 프로바이오틱
43,자장밥 부추계란국 단무지쪽파무침 김피탕 귤 고구마설기
44,찹쌀밥 북어콩나물국 실곤약비빔면 돼지불고기 백김치 사케이요구르트
45,찹쌀밥 애호박우렁된장국 안동찜닭 김치참치볶음 텐저린 에그타르트
46,찹쌀밥 얼큰어묵국 상추쑥갓겉절이 제육김치볶음 고추장떡 깍두기
47,찹쌀밥 근대된장국 고추장떡볶이 고추잡채김말이 석박지 부추겉절이
48,찹쌀밥 소프트치즈케익 두부청국장 계란후라이 스팸구이 김구이 배추김치 귤
49,찹쌀밥 미트소스스파게티 잔멸치고추장무침 매콤닭꼬치 총각김치 옥수수스프 마늘빵 
50,찹쌀밥 붕어빵 쇠고기미역국 잔멸치아몬드볶음 비엔나메추리알조림 배추김치 텐저린
51,흑미기장밥 별별브라우니 양상추샐러드 감자튀김 케첩 고구마치즈돈까스 배추김치 옥수수스프
52,찹쌀밥 북어무채국 느티리버섯볶음 당면불고기 플레오요구르트 깻잎쌈 쌈장
53,찹쌀밥 소프트치즈케익 얼큰콩나물국 열무된장무침 치즈불닭 엔요
54,찰보리밥 등뼈감자탕 깻잎양념찜 고추장떡볶이 치킨텐더 머스터드 총각김치
55,찹쌀밥 자장우동 아욱수제비된장국 단무지무침 메추리알감자조림 배추김치
56,찹쌀밥 조랭이떡만두국 근대나물 김치 제육구이 피칸파이 프로바이오틱
57,잔치국수 추가밥 배추김치 귤 바람떡 핫도그케첩
58,찹쌀밥 비빔국수 계란만두국 숙주맛살무침 삼치구이 배추겉절이
59,찹쌀밥 쇠고기당면국 명엽채고추장무침 베이컨채소구이 유기농요구르트 에그타르트
60,김밥 꼬치어묵국 유채나물 배추김치 포도쥬스
61,찹쌀밥 등뼈감자탕 마늘쫑어묵볶음 오리불고기 깻잎쌈 깍두기
62,찹쌀밥 초코칩 트위스트 어묵고추장찌개 상추쑥갓겉절이 버섯제육볶음 귤
63,흑미밥 떡국 김치등뼈사태찜 사과무생채 베이컨감자채볶음 석박지
64,찹쌀밥 버섯들깨탕 중국만두 상추쌈 춘천닭갈비 배추김치
65,찹쌀밥 쇠고기우거지국 오리훈제채소볶음 배추김치 딸기우유 모닝빵 딸기잼
66,카레라이스 붕어빵 두부김치국 카바노치소시지 프로바이오틱
